2016-07-04 19:52:16 startup archives unpack
2016-07-04 19:52:16 install libatm1:amd64 <none> 1:2.5.1-1.5
2016-07-04 19:52:16 status half-installed libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:16 status unpacked libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:16 status unpacked libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:16 install libmnl0:amd64 <none> 1.0.3-5
2016-07-04 19:52:16 status half-installed libmnl0:amd64 1.0.3-5
2016-07-04 19:52:16 status unpacked libmnl0:amd64 1.0.3-5
2016-07-04 19:52:16 status unpacked libmnl0:amd64 1.0.3-5
2016-07-04 19:52:17 install iproute2:amd64 <none> 4.3.0-1ubuntu3
2016-07-04 19:52:17 status half-installed iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:17 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:17 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:17 install libxtables11:amd64 <none> 1.6.0-2ubuntu3
2016-07-04 19:52:17 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:17 status half-installed libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:17 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:17 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:17 install iproute:all <none> 1:4.3.0-1ubuntu3
2016-07-04 19:52:17 status half-installed iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:18 status unpacked iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:18 status unpacked iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:18 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-07-04 19:52:18 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:18 status installed libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:18 startup packages configure
2016-07-04 19:52:18 configure libatm1:amd64 1:2.5.1-1.5 <none>
2016-07-04 19:52:18 status unpacked libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:18 status half-configured libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:18 status installed libatm1:amd64 1:2.5.1-1.5
2016-07-04 19:52:18 status triggers-pending libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:18 configure libmnl0:amd64 1.0.3-5 <none>
2016-07-04 19:52:18 status unpacked libmnl0:amd64 1.0.3-5
2016-07-04 19:52:18 status half-configured libmnl0:amd64 1.0.3-5
2016-07-04 19:52:18 status installed libmnl0:amd64 1.0.3-5
2016-07-04 19:52:18 configure iproute2:amd64 4.3.0-1ubuntu3 <none>
2016-07-04 19:52:18 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:18 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status unpacked iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status half-configured iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 status installed iproute2:amd64 4.3.0-1ubuntu3
2016-07-04 19:52:19 configure libxtables11:amd64 1.6.0-2ubuntu3 <none>
2016-07-04 19:52:19 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:19 status half-configured libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:19 status installed libxtables11:amd64 1.6.0-2ubuntu3
2016-07-04 19:52:19 configure iproute:all 1:4.3.0-1ubuntu3 <none>
2016-07-04 19:52:19 status unpacked iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:19 status half-configured iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:19 status installed iproute:all 1:4.3.0-1ubuntu3
2016-07-04 19:52:19 trigproc libc-bin:amd64 2.23-0ubuntu3 <none>
2016-07-04 19:52:19 status half-configured libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:19 status installed libc-bin:amd64 2.23-0ubuntu3
2016-07-04 19:52:20 startup packages configure
